season,team,name,location,conference,wins,losses,ties,pct,pf,pa,diff,home_w,home_l,away_w,away_l,conf_w,conf_l,playoff_result
51,SJS,Sabercats,San Jose,ASFC,6,10,0,0.375,324,392,-68,3,5,3,5,5,7,missed
51,NOLA,Second Line,New Orleans,ASFC,9,7,0,0.563,371,317,54,5,3,4,4,6,6,missed
51,OSK,Kaiju,Osaka,NSFC,8,8,0,0.5,420,338,82,5,3,3,5,6,6,missed
51,YKW,Wraiths,Yellowknife,NSFC,10,6,0,0.625,431,344,87,5,3,5,3,8,4,first_round
52,BFB,Brood,Black Forest,NSFC,2,14,0,0.125,292,574,-282,2,6,0,8,1,11,missed
52,OCO,Otters,Orange County,ASFC,4,12,0,0.25,289,501,-212,3,5,1,7,2,10,missed
52,CTC,Crash,Cape Town,NSFC,3,13,0,0.188,333,496,-163,2,6,1,7,3,9,missed
52,COL,Yeti,Colorado,NSFC,12,4,0,0.75,403,271,132,7,1,5,3,10,2,first_round
52,NYS,Silverbacks,New York,ASFC,12,3,1,0.781,496,337,159,5,2,7,1,9,2,runner_up
52,NOLA,Second Line,New Orleans,ASFC,8,8,0,0.5,387,334,53,5,3,3,5,6,6,missed
52,SAR,Sailfish,Sarasota,NSFC,7,9,0,0.438,429,417,12,5,3,2,6,6,6,missed
52,OSK,Kaiju,Osaka,NSFC,7,9,0,0.438,375,357,18,5,3,2,6,6,6,missed
52,AUS,Copperheads,Austin,ASFC,7,8,1,0.469,363,398,-35,4,4,3,4,5,6,missed
52,AZ,Outlaws,Arizona,ASFC,12,4,0,0.75,434,349,85,6,2,6,2,10,2,semifinal
52,HON,Hahalua,Honolulu,ASFC,9,7,0,0.563,412,303,109,6,2,3,5,6,6,first_round
52,SJS,Sabercats,San Jose,ASFC,5,10,1,0.344,325,420,-95,3,4,2,6,3,9,missed
52,YKW,Wraiths,Yellowknife,NSFC,9,6,1,0.594,508,372,136,8,0,1,6,7,5,semifinal
52,BAL,Hawks,Baltimore,NSFC,13,3,0,0.813,391,308,83,8,0,5,3,9,3,champion
53,BFB,Brood,Black Forest,NSFC,0,16,0,0.0,249,560,-311,0,8,0,8,0,12,missed
53,OCO,Otters,Orange County,ASFC,7,9,0,0.438,395,426,-31,4,4,3,5,3,9,missed
53,CTC,Crash,Cape Town,NSFC,2,14,0,0.125,281,445,-164,1,7,1,7,2,10,missed
53,OSK,Kaiju,Osaka,NSFC,4,12,0,0.25,290,571,-281,2,6,2,6,4,8,missed
53,HON,Hahalua,Honolulu,ASFC,8,7,1,0.531,448,334,114,6,2,2,5,5,6,missed
53,NOLA,Second Line,New Orleans,ASFC,11,5,0,0.688,401,322,79,8,0,3,5,8,4,semifinal
53,YKW,Wraiths,Yellowknife,NSFC,9,7,0,0.563,434,339,95,5,3,4,4,9,3,first_round
53,SAR,Sailfish,Sarasota,NSFC,9,7,0,0.563,391,342,49,6,2,3,5,9,3,missed
53,AZ,Outlaws,Arizona,ASFC,15,1,0,0.938,498,327,171,8,0,7,1,11,1,champion
53,NYS,Silverbacks,New York,ASFC,9,7,0,0.563,357,303,54,5,3,4,4,6,6,missed
53,AUS,Copperheads,Austin,ASFC,10,6,0,0.625,339,314,25,6,2,4,4,6,6,first_round
53,SJS,Sabercats,San Jose,ASFC,5,10,1,0.344,306,366,-60,2,5,3,5,2,9,missed
53,COL,Yeti,Colorado,NSFC,10,6,0,0.625,349,303,46,5,3,5,3,8,4,semifinal
53,BAL,Hawks,Baltimore,NSFC,12,4,0,0.75,504,290,214,6,2,6,2,10,2,runner_up
54,COL,Yeti,Colorado,NSFC,11,5,0,0.688,362,319,43,5,3,6,2,10,2,semifinal
54,BAL,Hawks,Baltimore,NSFC,7,9,0,0.438,390,400,-10,4,4,3,5,6,6,missed
54,BFB,Brood,Black Forest,NSFC,2,14,0,0.125,298,617,-319,1,7,1,7,2,10,missed
54,SJS,Sabercats,San Jose,ASFC,7,9,0,0.438,352,370,-18,3,5,4,4,5,7,missed
54,CTC,Crash,Cape Town,NSFC,10,6,0,0.625,389,320,69,6,2,4,4,7,5,first_round
54,OSK,Kaiju,Osaka,NSFC,0,16,0,0.0,275,557,-282,0,8,0,8,0,12,missed
54,AUS,Copperheads,Austin,ASFC,9,7,0,0.563,420,348,72,6,2,3,5,7,5,semifinal
